web-scraper-order,web-scraper-start-url,Año,Temperatura media anual,Temperatura máxima media anual,Temperatura mínima media anual,Precipitación total anual de lluvia y/o nieve derretida (mm),Velocidad media anual del viento (Km/h),Total días con lluvia durante el año,Total días que nevó durante el año,Total días con tormenta durante el año,Total días con niebla durante el año,Total días con tornados o nubes de embudo durante el año,Total días con granizo durante el año
"1636132787-49","https://www.tutiempo.net/clima/ws-873440.html","2016","16.3","24.8","9.7","987.82","11.9","131","1","62","28","0","1"
"1636132787-10","https://www.tutiempo.net/clima/ws-873440.html","1977","17.7","24.2","11.5","856.47","14.0","114","3","44","13","0","2"
"1636132787-19","https://www.tutiempo.net/clima/ws-873440.html","1986","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-18","https://www.tutiempo.net/clima/ws-873440.html","1985","17.5","24.0","12.2","-","12.0","126","0","64","21","0","1"
"1636132787-1","https://www.tutiempo.net/clima/ws-873440.html","1957","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-33","https://www.tutiempo.net/clima/ws-873440.html","2000","16.7","24.2","10.9","-","12.6","125","1","49","19","0","2"
"1636132787-43","https://www.tutiempo.net/clima/ws-873440.html","2010","17.4","25.5","11.3","-","13.2","112","1","54","17","0","2"
"1636132787-6","https://www.tutiempo.net/clima/ws-873440.html","1973","16.9","22.8","10.8","-","11.9","105","7","42","17","0","3"
"1636132787-31","https://www.tutiempo.net/clima/ws-873440.html","1998","16.8","24.1","11.0","705.60","12.6","103","0","52","21","1","1"
"1636132787-32","https://www.tutiempo.net/clima/ws-873440.html","1999","16.9","24.3","11.0","-","11.9","115","0","56","28","0","1"
"1636132787-37","https://www.tutiempo.net/clima/ws-873440.html","2004","17.6","25.5","11.5","821.93","13.4","91","0","49","11","0","0"
"1636132787-7","https://www.tutiempo.net/clima/ws-873440.html","1974","17.4","23.6","11.1","-","11.3","137","7","80","18","5","5"
"1636132787-20","https://www.tutiempo.net/clima/ws-873440.html","1987","17.4","24.4","11.3","579.90","12.1","102","2","61","13","1","3"
"1636132787-30","https://www.tutiempo.net/clima/ws-873440.html","1997","17.9","25.7","11.8","916.41","13.0","104","0","66","10","1","1"
"1636132787-27","https://www.tutiempo.net/clima/ws-873440.html","1994","17.9","25.6","12.0","714.75","13.2","88","0","58","12","0","0"
"1636132787-36","https://www.tutiempo.net/clima/ws-873440.html","2003","17.6","25.4","11.4","975.13","13.7","110","0","55","24","0","5"
"1636132787-51","https://www.tutiempo.net/clima/ws-873440.html","2018","17.3","26.4","9.8","-","13.8","108","0","60","23","0","1"
"1636132787-34","https://www.tutiempo.net/clima/ws-873440.html","2001","17.4","24.8","11.8","-","12.9","132","0","58","23","0","4"
"1636132787-42","https://www.tutiempo.net/clima/ws-873440.html","2009","18.4","26.8","11.9","988.57","13.9","96","1","53","9","0","3"
"1636132787-53","https://www.tutiempo.net/clima/ws-873440.html","2020","17.2","26.7","9.9","-","13.0","75","0","41","11","0","0"
"1636132787-13","https://www.tutiempo.net/clima/ws-873440.html","1980","17.7","25.6","10.4","784.37","12.2","99","5","52","20","0","3"
"1636132787-5","https://www.tutiempo.net/clima/ws-873440.html","1968","17.9","24.5","11.6","-","13.1","82","0","42","19","0","2"
"1636132787-46","https://www.tutiempo.net/clima/ws-873440.html","2013","17.2","26.1","9.8","-","13.8","99","0","57","12","0","3"
"1636132787-16","https://www.tutiempo.net/clima/ws-873440.html","1983","17.0","24.4","11.0","1108.97","12.2","100","0","53","14","0","4"
"1636132787-4","https://www.tutiempo.net/clima/ws-873440.html","1967","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-2","https://www.tutiempo.net/clima/ws-873440.html","1958","17.3","24.3","11.2","-","12.3","73","0","26","9","0","0"
"1636132787-44","https://www.tutiempo.net/clima/ws-873440.html","2011","17.9","26.3","11.6","-","13.6","100","1","49","20","0","2"
"1636132787-29","https://www.tutiempo.net/clima/ws-873440.html","1996","17.6","25.4","11.0","1422.69","13.4","105","1","70","13","0","1"
"1636132787-3","https://www.tutiempo.net/clima/ws-873440.html","1965","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-50","https://www.tutiempo.net/clima/ws-873440.html","2017","17.3","26.3","10.1","-","13.2","114","0","62","29","0","4"
"1636132787-11","https://www.tutiempo.net/clima/ws-873440.html","1978","16.7","23.2","11.2","1078.23","12.0","105","0","53","21","0","0"
"1636132787-40","https://www.tutiempo.net/clima/ws-873440.html","2007","16.8","24.8","10.9","-","13.1","115","3","61","25","0","0"
"1636132787-22","https://www.tutiempo.net/clima/ws-873440.html","1989","18.1","25.8","11.6","589.52","13.7","84","0","67","13","3","2"
"1636132787-48","https://www.tutiempo.net/clima/ws-873440.html","2015","17.2","25.6","10.9","-","11.9","122","0","72","21","0","1"
"1636132787-24","https://www.tutiempo.net/clima/ws-873440.html","1991","17.4","25.1","11.6","741.92","12.2","109","0","64","27","0","1"
"1636132787-52","https://www.tutiempo.net/clima/ws-873440.html","2019","17.1","25.7","10.4","-","13.9","115","0","55","26","0","1"
"1636132787-54","https://www.tutiempo.net/clima/ws-873440.html","2021","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-25","https://www.tutiempo.net/clima/ws-873440.html","1992","17.0","24.1","11.3","1284.21","13.3","110","0","66","15","1","2"
"1636132787-41","https://www.tutiempo.net/clima/ws-873440.html","2008","17.9","25.9","11.6","-","12.8","93","2","51","12","0","2"
"1636132787-21","https://www.tutiempo.net/clima/ws-873440.html","1988","17.2","24.9","10.5","704.30","10.3","88","1","53","13","0","2"
"1636132787-8","https://www.tutiempo.net/clima/ws-873440.html","1975","17.3","23.7","10.9","-","13.1","146","6","82","32","12","3"
"1636132787-23","https://www.tutiempo.net/clima/ws-873440.html","1990","17.5","25.2","11.5","1072.15","11.3","118","0","55","21","0","2"
"1636132787-47","https://www.tutiempo.net/clima/ws-873440.html","2014","17.1","25.8","10.2","861.81","13.3","112","0","58","30","0","0"
"1636132787-15","https://www.tutiempo.net/clima/ws-873440.html","1982","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-14","https://www.tutiempo.net/clima/ws-873440.html","1981","17.0","25.0","10.5","1087.69","11.1","108","1","50","25","0","3"
"1636132787-12","https://www.tutiempo.net/clima/ws-873440.html","1979","16.8","24.7","10.1","767.13","11.6","115","3","44","11","0","0"
"1636132787-45","https://www.tutiempo.net/clima/ws-873440.html","2012","18.2","26.5","11.8","870.20","13.9","101","1","64","13","0","2"
"1636132787-39","https://www.tutiempo.net/clima/ws-873440.html","2006","18.0","26.1","11.6","-","13.9","93","0","53","19","0","1"
"1636132787-26","https://www.tutiempo.net/clima/ws-873440.html","1993","17.1","25.1","10.9","1099.80","13.0","93","0","62","10","0","1"
"1636132787-38","https://www.tutiempo.net/clima/ws-873440.html","2005","-","-","-","-","-","-","-","-","-","-","-"
"1636132787-28","https://www.tutiempo.net/clima/ws-873440.html","1995","17.8","26.1","10.8","551.17","13.3","81","1","54","6","1","0"
"1636132787-9","https://www.tutiempo.net/clima/ws-873440.html","1976","17.0","23.4","10.7","-","13.4","116","4","53","15","1","3"
"1636132787-17","https://www.tutiempo.net/clima/ws-873440.html","1984","16.8","23.7","11.2","1100.61","11.6","116","2","47","18","0","1"
"1636132787-35","https://www.tutiempo.net/clima/ws-873440.html","2002","-","-","-","-","-","-","-","-","-","-","-"
